1	Q0 doc1	1	0.133191167079919	
1	Q0 nr1	2	0.11576392543063412	
1	Q0 doc2	3	0.11383642598643037	
1	Q0 doc3	4	0.11227491465854571	
1	Q0 doc4	5	0.1122487570871072	
1	Q0 doc5	6	0.09544054329578017	
1	Q0 nr2	7	0.09499535837090986	
1	Q0 nr3	8	0.09173835334754847	
1	Q0 nr4	9	0.0913859956441986	
1	Q0 doc6	10	0.09136340168119317	
2	Q0 doc1	1	0.133191167079919	
2	Q0 nr1	2	0.11576392543063412	
2	Q0 doc2	3	0.11383642598643037	
2	Q0 nr2	4	0.11227491465854571	
2	Q0 nr3	5	0.1122487570871072	
2	Q0 doc3	6	0.09544054329578017	
2	Q0 nr4	7	0.09499535837090986	
2	Q0 nr5	8	0.09173835334754847	
2	Q0 doc4	9	0.0913859956441986	
2	Q0 doc5	10	0.09136340168119317	
